twa/tws;4;6;8;10;12;14;16;20;24
0;0;0;0;0;0;0;0;0;0
52;4.32;5.72;6.62;7.06;7.24;7.32;7.37;7.42;7.39
60;4.57;5.97;6.8;7.21;7.41;7.5;7.56;7.63;7.63
75;4.72;6.12;6.91;7.33;7.59;7.76;7.86;8.01;8.08
90;4.57;5.98;6.84;7.33;7.63;7.89;8.1;8.37;8.58
110;4.38;5.93;7.01;7.58;7.97;8.28;8.51;8.96;9.4
120;4.25;5.8;6.92;7.52;7.97;8.4;8.81;9.56;10.39
135;3.69;5.19;6.42;7.2;7.69;8.15;8.64;10.04;12.74
150;3.06;4.37;5.53;6.49;7.17;7.59;7.97;8.81;11.18
