TWA/TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
20;0;0.025;0.05;0.075;0.1;0.15;0.2;0.25;0.3;0.55;0.8;0.8;0.8;0.85;0.9;0.95;1;1.075;1.15;1.225;1.3;1.32;1.34;1.36;1.38;1.4;1.38;1.36;1.34;1.32;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3
21;0;0.025;0.05;0.075;0.1;0.15;0.2;0.26;0.32;0.58;0.84;0.84;0.84;0.88;0.92;0.97;1.02;1.1;1.18;1.26;1.34;1.36;1.38;1.4;1.42;1.44;1.424;1.408;1.392;1.376;1.36;1.36;1.36;1.36;1.36;1.36;1.36;1.36;1.36;1.36;1.36
22;0;0.025;0.05;0.075;0.1;0.15;0.2;0.27;0.34;0.61;0.88;0.88;0.88;0.91;0.94;0.99;1.04;1.125;1.21;1.295;1.38;1.4;1.42;1.44;1.46;1.48;1.468;1.456;1.444;1.432;1.42;1.42;1.42;1.42;1.42;1.42;1.42;1.42;1.42;1.42;1.42
23;0;0.025;0.05;0.075;0.1;0.15;0.2;0.28;0.36;0.64;0.92;0.92;0.92;0.94;0.96;1.01;1.06;1.15;1.24;1.33;1.42;1.44;1.46;1.48;1.5;1.52;1.512;1.504;1.496;1.488;1.48;1.48;1.48;1.48;1.48;1.48;1.48;1.48;1.48;1.48;1.48
24;0;0.025;0.05;0.075;0.1;0.15;0.2;0.29;0.38;0.67;0.96;0.96;0.96;0.97;0.98;1.03;1.08;1.175;1.27;1.365;1.46;1.48;1.5;1.52;1.54;1.56;1.556;1.552;1.548;1.544;1.54;1.54;1.54;1.54;1.54;1.54;1.54;1.54;1.54;1.54;1.54
25;0;0.025;0.05;0.075;0.1;0.15;0.2;0.3;0.4;0.7;1;1;1;1;1;1.05;1.1;1.2;1.3;1.4;1.5;1.52;1.54;1.56;1.58;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6
26;0;0.025;0.05;0.075;0.1;0.157;0.214;0.321;0.429;0.757;1.086;1.086;1.086;1.093;1.1;1.157;1.214;1.321;1.429;1.536;1.643;1.666;1.689;1.711;1.734;1.757;1.754;1.751;1.749;1.746;1.743;1.743;1.743;1.743;1.743;1.743;1.743;1.743;1.743;1.743;1.743
27;0;0.025;0.05;0.075;0.1;0.164;0.229;0.343;0.457;0.814;1.171;1.171;1.171;1.186;1.2;1.264;1.329;1.443;1.557;1.671;1.786;1.811;1.837;1.863;1.889;1.914;1.909;1.903;1.897;1.891;1.886;1.886;1.886;1.886;1.886;1.886;1.886;1.886;1.886;1.886;1.886
28;0;0.025;0.05;0.075;0.1;0.171;0.243;0.364;0.486;0.871;1.257;1.257;1.257;1.279;1.3;1.371;1.443;1.564;1.686;1.807;1.929;1.957;1.986;2.014;2.043;2.071;2.063;2.054;2.046;2.037;2.029;2.029;2.029;2.029;2.029;2.029;2.029;2.029;2.029;2.029;2.029
29;0;0.025;0.05;0.075;0.1;0.179;0.257;0.386;0.514;0.929;1.343;1.343;1.343;1.371;1.4;1.479;1.557;1.686;1.814;1.943;2.071;2.103;2.134;2.166;2.197;2.229;2.217;2.206;2.194;2.183;2.171;2.171;2.171;2.171;2.171;2.171;2.171;2.171;2.171;2.171;2.171
30;0;0.025;0.05;0.075;0.1;0.186;0.271;0.407;0.543;0.986;1.429;1.429;1.429;1.464;1.5;1.586;1.671;1.807;1.943;2.079;2.214;2.249;2.283;2.317;2.351;2.386;2.371;2.357;2.343;2.329;2.314;2.314;2.314;2.314;2.314;2.314;2.314;2.314;2.314;2.314;2.314
31;0;0.025;0.05;0.075;0.1;0.193;0.286;0.429;0.571;1.043;1.514;1.514;1.514;1.557;1.6;1.693;1.786;1.929;2.071;2.214;2.357;2.394;2.431;2.469;2.506;2.543;2.526;2.509;2.491;2.474;2.457;2.457;2.457;2.457;2.457;2.457;2.457;2.457;2.457;2.457;2.457
32;0;0.025;0.05;0.075;0.1;0.2;0.3;0.45;0.6;1.1;1.6;1.6;1.6;1.65;1.7;1.8;1.9;2.05;2.2;2.35;2.5;2.54;2.58;2.62;2.66;2.7;2.68;2.66;2.64;2.62;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6
33;0;0.031;0.063;0.094;0.125;0.225;0.325;0.5;0.675;1.188;1.7;1.713;1.725;1.775;1.825;1.925;2.025;2.188;2.35;2.512;2.675;2.715;2.755;2.795;2.835;2.875;2.855;2.835;2.815;2.795;2.775;2.775;2.775;2.775;2.775;2.775;2.775;2.775;2.775;2.775;2.775
34;0;0.038;0.075;0.113;0.15;0.25;0.35;0.55;0.75;1.275;1.8;1.825;1.85;1.9;1.95;2.05;2.15;2.325;2.5;2.675;2.85;2.89;2.93;2.97;3.01;3.05;3.03;3.01;2.99;2.97;2.95;2.95;2.95;2.95;2.95;2.95;2.95;2.95;2.95;2.95;2.95
35;0;0.044;0.088;0.131;0.175;0.275;0.375;0.6;0.825;1.362;1.9;1.938;1.975;2.025;2.075;2.175;2.275;2.463;2.65;2.838;3.025;3.065;3.105;3.145;3.185;3.225;3.205;3.185;3.165;3.145;3.125;3.125;3.125;3.125;3.125;3.125;3.125;3.125;3.125;3.125;3.125
36;0;0.05;0.1;0.15;0.2;0.3;0.4;0.65;0.9;1.45;2;2.05;2.1;2.15;2.2;2.3;2.4;2.6;2.8;3;3.2;3.24;3.28;3.32;3.36;3.4;3.38;3.36;3.34;3.32;3.3;3.3;3.3;3.3;3.3;3.3;3.3;3.3;3.3;3.3;3.3
37;0;0.056;0.113;0.169;0.225;0.338;0.45;0.712;0.975;1.55;2.125;2.175;2.225;2.288;2.35;2.463;2.575;2.781;2.988;3.194;3.4;3.44;3.48;3.52;3.56;3.6;3.585;3.57;3.555;3.54;3.525;3.525;3.525;3.525;3.525;3.525;3.525;3.525;3.525;3.525;3.525
38;0;0.063;0.125;0.188;0.25;0.375;0.5;0.775;1.05;1.65;2.25;2.3;2.35;2.425;2.5;2.625;2.75;2.963;3.175;3.388;3.6;3.64;3.68;3.72;3.76;3.8;3.79;3.78;3.77;3.76;3.75;3.75;3.75;3.75;3.75;3.75;3.75;3.75;3.75;3.75;3.75
