TWA/TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
84;0;0.4;0.8;1.2;1.6;2.05;2.5;3.2;3.9;4.95;6;6.3;6.6;7;7.4;7.8;8.2;8.685;9.17;9.655;10.14;10.28;10.42;10.56;10.7;10.84;10.916;10.992;11.068;11.144;11.22;11.288;11.356;11.424;11.492;11.56;11.56;11.56;11.56;11.56;11.56
85;0;0.4;0.8;1.2;1.6;2.05;2.5;3.2;3.9;4.95;6;6.3;6.6;7;7.4;7.8;8.2;8.688;9.175;9.662;10.15;10.29;10.43;10.57;10.71;10.85;10.93;11.01;11.09;11.17;11.25;11.32;11.39;11.46;11.53;11.6;11.6;11.6;11.6;11.6;11.6
86;0;0.4;0.8;1.2;1.6;2.05;2.5;3.2;3.9;4.95;6;6.3;6.6;7;7.4;7.8;8.2;8.69;9.18;9.67;10.16;10.3;10.44;10.58;10.72;10.86;10.944;11.028;11.112;11.196;11.28;11.352;11.424;11.496;11.568;11.64;11.64;11.64;11.64;11.64;11.64
87;0;0.4;0.8;1.2;1.6;2.05;2.5;3.2;3.9;4.95;6;6.3;6.6;7;7.4;7.8;8.2;8.692;9.185;9.678;10.17;10.31;10.45;10.59;10.73;10.87;10.958;11.046;11.134;11.222;11.31;11.384;11.458;11.532;11.606;11.68;11.68;11.68;11.68;11.68;11.68
88;0;0.4;0.8;1.2;1.6;2.05;2.5;3.2;3.9;4.95;6;6.3;6.6;7;7.4;7.8;8.2;8.695;9.19;9.685;10.18;10.32;10.46;10.6;10.74;10.88;10.972;11.064;11.156;11.248;11.34;11.416;11.492;11.568;11.644;11.72;11.72;11.72;11.72;11.72;11.72
89;0;0.4;0.8;1.2;1.6;2.05;2.5;3.2;3.9;4.95;6;6.3;6.6;7;7.4;7.8;8.2;8.698;9.195;9.692;10.19;10.33;10.47;10.61;10.75;10.89;10.986;11.082;11.178;11.274;11.37;11.448;11.526;11.604;11.682;11.76;11.76;11.76;11.76;11.76;11.76
90;0;0.4;0.8;1.2;1.6;2.05;2.5;3.2;3.9;4.95;6;6.3;6.6;7;7.4;7.8;8.2;8.7;9.2;9.7;10.2;10.34;10.48;10.62;10.76;10.9;11;11.1;11.2;11.3;11.4;11.48;11.56;11.64;11.72;11.8;11.8;11.8;11.8;11.8;11.8
91;0;0.403;0.805;1.208;1.61;2.055;2.5;3.195;3.89;4.93;5.97;6.28;6.59;6.99;7.39;7.785;8.18;8.68;9.18;9.68;10.18;10.32;10.46;10.6;10.74;10.88;10.984;11.088;11.192;11.296;11.4;11.484;11.568;11.652;11.736;11.82;11.82;11.82;11.82;11.82;11.82
92;0;0.405;0.81;1.215;1.62;2.06;2.5;3.19;3.88;4.91;5.94;6.26;6.58;6.98;7.38;7.77;8.16;8.66;9.16;9.66;10.16;10.3;10.44;10.58;10.72;10.86;10.968;11.076;11.184;11.292;11.4;11.488;11.576;11.664;11.752;11.84;11.84;11.84;11.84;11.84;11.84
93;0;0.408;0.815;1.223;1.63;2.065;2.5;3.185;3.87;4.89;5.91;6.24;6.57;6.97;7.37;7.755;8.14;8.64;9.14;9.64;10.14;10.28;10.42;10.56;10.7;10.84;10.952;11.064;11.176;11.288;11.4;11.492;11.584;11.676;11.768;11.86;11.86;11.86;11.86;11.86;11.86
94;0;0.41;0.82;1.23;1.64;2.07;2.5;3.18;3.86;4.87;5.88;6.22;6.56;6.96;7.36;7.74;8.12;8.62;9.12;9.62;10.12;10.26;10.4;10.54;10.68;10.82;10.936;11.052;11.168;11.284;11.4;11.496;11.592;11.688;11.784;11.88;11.88;11.88;11.88;11.88;11.88
95;0;0.413;0.825;1.237;1.65;2.075;2.5;3.175;3.85;4.85;5.85;6.2;6.55;6.95;7.35;7.725;8.1;8.6;9.1;9.6;10.1;10.24;10.38;10.52;10.66;10.8;10.92;11.04;11.16;11.28;11.4;11.5;11.6;11.7;11.8;11.9;11.9;11.9;11.9;11.9;11.9
96;0;0.415;0.83;1.245;1.66;2.08;2.5;3.17;3.84;4.83;5.82;6.18;6.54;6.94;7.34;7.71;8.08;8.58;9.08;9.58;10.08;10.22;10.36;10.5;10.64;10.78;10.904;11.028;11.152;11.276;11.4;11.504;11.608;11.712;11.816;11.92;11.92;11.92;11.92;11.92;11.92
97;0;0.418;0.835;1.253;1.67;2.085;2.5;3.165;3.83;4.81;5.79;6.16;6.53;6.93;7.33;7.695;8.06;8.56;9.06;9.56;10.06;10.2;10.34;10.48;10.62;10.76;10.888;11.016;11.144;11.272;11.4;11.508;11.616;11.724;11.832;11.94;11.94;11.94;11.94;11.94;11.94
98;0;0.42;0.84;1.26;1.68;2.09;2.5;3.16;3.82;4.79;5.76;6.14;6.52;6.92;7.32;7.68;8.04;8.54;9.04;9.54;10.04;10.18;10.32;10.46;10.6;10.74;10.872;11.004;11.136;11.268;11.4;11.512;11.624;11.736;11.848;11.96;11.96;11.96;11.96;11.96;11.96
99;0;0.423;0.845;1.268;1.69;2.095;2.5;3.155;3.81;4.77;5.73;6.12;6.51;6.91;7.31;7.665;8.02;8.52;9.02;9.52;10.02;10.16;10.3;10.44;10.58;10.72;10.856;10.992;11.128;11.264;11.4;11.516;11.632;11.748;11.864;11.98;11.98;11.98;11.98;11.98;11.98
100;0;0.425;0.85;1.275;1.7;2.1;2.5;3.15;3.8;4.75;5.7;6.1;6.5;6.9;7.3;7.65;8;8.5;9;9.5;10;10.14;10.28;10.42;10.56;10.7;10.84;10.98;11.12;11.26;11.4;11.52;11.64;11.76;11.88;12;12;12;12;12;12
101;0;0.42;0.84;1.26;1.68;2.08;2.48;3.125;3.77;4.715;5.66;6.07;6.48;6.88;7.28;7.63;7.98;8.478;8.975;9.473;9.97;10.108;10.246;10.384;10.522;10.66;10.802;10.944;11.086;11.228;11.37;11.492;11.614;11.736;11.858;11.98;11.98;11.98;11.98;11.98;11.98
102;0;0.415;0.83;1.245;1.66;2.06;2.46;3.1;3.74;4.68;5.62;6.04;6.46;6.86;7.26;7.61;7.96;8.455;8.95;9.445;9.94;10.076;10.212;10.348;10.484;10.62;10.764;10.908;11.052;11.196;11.34;11.464;11.588;11.712;11.836;11.96;11.96;11.96;11.96;11.96;11.96
103;0;0.41;0.82;1.23;1.64;2.04;2.44;3.075;3.71;4.645;5.58;6.01;6.44;6.84;7.24;7.59;7.94;8.433;8.925;9.418;9.91;10.044;10.178;10.312;10.446;10.58;10.726;10.872;11.018;11.164;11.31;11.436;11.562;11.688;11.814;11.94;11.94;11.94;11.94;11.94;11.94
104;0;0.405;0.81;1.215;1.62;2.02;2.42;3.05;3.68;4.61;5.54;5.98;6.42;6.82;7.22;7.57;7.92;8.41;8.9;9.39;9.88;10.012;10.144;10.276;10.408;10.54;10.688;10.836;10.984;11.132;11.28;11.408;11.536;11.664;11.792;11.92;11.92;11.92;11.92;11.92;11.92
105;0;0.4;0.8;1.2;1.6;2;2.4;3.025;3.65;4.575;5.5;5.95;6.4;6.8;7.2;7.55;7.9;8.388;8.875;9.363;9.85;9.98;10.11;10.24;10.37;10.5;10.65;10.8;10.95;11.1;11.25;11.38;11.51;11.64;11.77;11.9;11.9;11.9;11.9;11.9;11.9
106;0;0.395;0.79;1.185;1.58;1.98;2.38;3;3.62;4.54;5.46;5.92;6.38;6.78;7.18;7.53;7.88;8.365;8.85;9.335;9.82;9.948;10.076;10.204;10.332;10.46;10.612;10.764;10.916;11.068;11.22;11.352;11.484;11.616;11.748;11.88;11.88;11.88;11.88;11.88;11.88
107;0;0.39;0.78;1.17;1.56;1.96;2.36;2.975;3.59;4.505;5.42;5.89;6.36;6.76;7.16;7.51;7.86;8.343;8.825;9.308;9.79;9.916;10.042;10.168;10.294;10.42;10.574;10.728;10.882;11.036;11.19;11.324;11.458;11.592;11.726;11.86;11.86;11.86;11.86;11.86;11.86
108;0;0.385;0.77;1.155;1.54;1.94;2.34;2.95;3.56;4.47;5.38;5.86;6.34;6.74;7.14;7.49;7.84;8.32;8.8;9.28;9.76;9.884;10.008;10.132;10.256;10.38;10.536;10.692;10.848;11.004;11.16;11.296;11.432;11.568;11.704;11.84;11.84;11.84;11.84;11.84;11.84
109;0;0.38;0.76;1.14;1.52;1.92;2.32;2.925;3.53;4.435;5.34;5.83;6.32;6.72;7.12;7.47;7.82;8.298;8.775;9.253;9.73;9.852;9.974;10.096;10.218;10.34;10.498;10.656;10.814;10.972;11.13;11.268;11.406;11.544;11.682;11.82;11.82;11.82;11.82;11.82;11.82
110;0;0.375;0.75;1.125;1.5;1.9;2.3;2.9;3.5;4.4;5.3;5.8;6.3;6.7;7.1;7.45;7.8;8.275;8.75;9.225;9.7;9.82;9.94;10.06;10.18;10.3;10.46;10.62;10.78;10.94;11.1;11.24;11.38;11.52;11.66;11.8;11.8;11.8;11.8;11.8;11.8
111;0;0.395;0.79;1.185;1.58;1.985;2.39;2.99;3.59;4.48;5.37;5.875;6.38;6.79;7.2;7.56;7.92;8.4;8.88;9.36;9.84;9.976;10.112;10.248;10.384;10.52;10.688;10.856;11.024;11.192;11.36;11.508;11.656;11.804;11.952;12.1;12.1;12.1;12.1;12.1;12.1
112;0;0.415;0.83;1.245;1.66;2.07;2.48;3.08;3.68;4.56;5.44;5.95;6.46;6.88;7.3;7.67;8.04;8.525;9.01;9.495;9.98;10.132;10.284;10.436;10.588;10.74;10.916;11.092;11.268;11.444;11.62;11.776;11.932;12.088;12.244;12.4;12.4;12.4;12.4;12.4;12.4
113;0;0.435;0.87;1.305;1.74;2.155;2.57;3.17;3.77;4.64;5.51;6.025;6.54;6.97;7.4;7.78;8.16;8.65;9.14;9.63;10.12;10.288;10.456;10.624;10.792;10.96;11.144;11.328;11.512;11.696;11.88;12.044;12.208;12.372;12.536;12.7;12.7;12.7;12.7;12.7;12.7
114;0;0.455;0.91;1.365;1.82;2.24;2.66;3.26;3.86;4.72;5.58;6.1;6.62;7.06;7.5;7.89;8.28;8.775;9.27;9.765;10.26;10.444;10.628;10.812;10.996;11.18;11.372;11.564;11.756;11.948;12.14;12.312;12.484;12.656;12.828;13;13;13;13;13;13
115;0;0.475;0.95;1.425;1.9;2.325;2.75;3.35;3.95;4.8;5.65;6.175;6.7;7.15;7.6;8;8.4;8.9;9.4;9.9;10.4;10.6;10.8;11;11.2;11.4;11.6;11.8;12;12.2;12.4;12.58;12.76;12.94;13.12;13.3;13.3;13.3;13.3;13.3;13.3
116;0;0.495;0.99;1.485;1.98;2.41;2.84;3.44;4.04;4.88;5.72;6.25;6.78;7.24;7.7;8.11;8.52;9.025;9.53;10.035;10.54;10.756;10.972;11.188;11.404;11.62;11.828;12.036;12.244;12.452;12.66;12.848;13.036;13.224;13.412;13.6;13.6;13.6;13.6;13.6;13.6
117;0;0.515;1.03;1.545;2.06;2.495;2.93;3.53;4.13;4.96;5.79;6.325;6.86;7.33;7.8;8.22;8.64;9.15;9.66;10.17;10.68;10.912;11.144;11.376;11.608;11.84;12.056;12.272;12.488;12.704;12.92;13.116;13.312;13.508;13.704;13.9;13.9;13.9;13.9;13.9;13.9
118;0;0.535;1.07;1.605;2.14;2.58;3.02;3.62;4.22;5.04;5.86;6.4;6.94;7.42;7.9;8.33;8.76;9.275;9.79;10.305;10.82;11.068;11.316;11.564;11.812;12.06;12.284;12.508;12.732;12.956;13.18;13.384;13.588;13.792;13.996;14.2;14.2;14.2;14.2;14.2;14.2
119;0;0.555;1.11;1.665;2.22;2.665;3.11;3.71;4.31;5.12;5.93;6.475;7.02;7.51;8;8.44;8.88;9.4;9.92;10.44;10.96;11.224;11.488;11.752;12.016;12.28;12.512;12.744;12.976;13.208;13.44;13.652;13.864;14.076;14.288;14.5;14.5;14.5;14.5;14.5;14.5
120;0;0.575;1.15;1.725;2.3;2.75;3.2;3.8;4.4;5.2;6;6.55;7.1;7.6;8.1;8.55;9;9.525;10.05;10.575;11.1;11.38;11.66;11.94;12.22;12.5;12.74;12.98;13.22;13.46;13.7;13.92;14.14;14.36;14.58;14.8;14.8;14.8;14.8;14.8;14.8
121;0;0.587;1.175;1.762;2.35;2.8;3.25;3.845;4.44;5.235;6.03;6.57;7.11;7.61;8.11;8.565;9.02;9.555;10.09;10.625;11.16;11.456;11.752;12.048;12.344;12.64;12.884;13.128;13.372;13.616;13.86;14.088;14.316;14.544;14.772;15;15;15;15;15;15
122;0;0.6;1.2;1.8;2.4;2.85;3.3;3.89;4.48;5.27;6.06;6.59;7.12;7.62;8.12;8.58;9.04;9.585;10.13;10.675;11.22;11.532;11.844;12.156;12.468;12.78;13.028;13.276;13.524;13.772;14.02;14.256;14.492;14.728;14.964;15.2;15.2;15.2;15.2;15.2;15.2
123;0;0.612;1.225;1.838;2.45;2.9;3.35;3.935;4.52;5.305;6.09;6.61;7.13;7.63;8.13;8.595;9.06;9.615;10.17;10.725;11.28;11.608;11.936;12.264;12.592;12.92;13.172;13.424;13.676;13.928;14.18;14.424;14.668;14.912;15.156;15.4;15.4;15.4;15.4;15.4;15.4
124;0;0.625;1.25;1.875;2.5;2.95;3.4;3.98;4.56;5.34;6.12;6.63;7.14;7.64;8.14;8.61;9.08;9.645;10.21;10.775;11.34;11.684;12.028;12.372;12.716;13.06;13.316;13.572;13.828;14.084;14.34;14.592;14.844;15.096;15.348;15.6;15.6;15.6;15.6;15.6;15.6
125;0;0.638;1.275;1.912;2.55;3;3.45;4.025;4.6;5.375;6.15;6.65;7.15;7.65;8.15;8.625;9.1;9.675;10.25;10.825;11.4;11.76;12.12;12.48;12.84;13.2;13.46;13.72;13.98;14.24;14.5;14.76;15.02;15.28;15.54;15.8;15.8;15.8;15.8;15.8;15.8
126;0;0.65;1.3;1.95;2.6;3.05;3.5;4.07;4.64;5.41;6.18;6.67;7.16;7.66;8.16;8.64;9.12;9.705;10.29;10.875;11.46;11.836;12.212;12.588;12.964;13.34;13.604;13.868;14.132;14.396;14.66;14.928;15.196;15.464;15.732;16;16;16;16;16;16
127;0;0.663;1.325;1.987;2.65;3.1;3.55;4.115;4.68;5.445;6.21;6.69;7.17;7.67;8.17;8.655;9.14;9.735;10.33;10.925;11.52;11.912;12.304;12.696;13.088;13.48;13.748;14.016;14.284;14.552;14.82;15.096;15.372;15.648;15.924;16.2;16.2;16.2;16.2;16.2;16.2
128;0;0.675;1.35;2.025;2.7;3.15;3.6;4.16;4.72;5.48;6.24;6.71;7.18;7.68;8.18;8.67;9.16;9.765;10.37;10.975;11.58;11.988;12.396;12.804;13.212;13.62;13.892;14.164;14.436;14.708;14.98;15.264;15.548;15.832;16.116;16.4;16.4;16.4;16.4;16.4;16.4
129;0;0.688;1.375;2.063;2.75;3.2;3.65;4.205;4.76;5.515;6.27;6.73;7.19;7.69;8.19;8.685;9.18;9.795;10.41;11.025;11.64;12.064;12.488;12.912;13.336;13.76;14.036;14.312;14.588;14.864;15.14;15.432;15.724;16.016;16.308;16.6;16.6;16.6;16.6;16.6;16.6
130;0;0.7;1.4;2.1;2.8;3.25;3.7;4.25;4.8;5.55;6.3;6.75;7.2;7.7;8.2;8.7;9.2;9.825;10.45;11.075;11.7;12.14;12.58;13.02;13.46;13.9;14.18;14.46;14.74;15.02;15.3;15.6;15.9;16.2;16.5;16.8;16.8;16.8;16.8;16.8;16.8
131;0;0.68;1.36;2.04;2.72;3.17;3.62;4.175;4.73;5.49;6.25;6.69;7.13;7.625;8.12;8.615;9.11;9.723;10.335;10.947;11.56;11.996;12.432;12.868;13.304;13.74;14.016;14.292;14.568;14.844;15.12;15.416;15.712;16.008;16.304;16.6;16.6;16.6;16.6;16.6;16.6
132;0;0.66;1.32;1.98;2.64;3.09;3.54;4.1;4.66;5.43;6.2;6.63;7.06;7.55;8.04;8.53;9.02;9.62;10.22;10.82;11.42;11.852;12.284;12.716;13.148;13.58;13.852;14.124;14.396;14.668;14.94;15.232;15.524;15.816;16.108;16.4;16.4;16.4;16.4;16.4;16.4
133;0;0.64;1.28;1.92;2.56;3.01;3.46;4.025;4.59;5.37;6.15;6.57;6.99;7.475;7.96;8.445;8.93;9.518;10.105;10.692;11.28;11.708;12.136;12.564;12.992;13.42;13.688;13.956;14.224;14.492;14.76;15.048;15.336;15.624;15.912;16.2;16.2;16.2;16.2;16.2;16.2
134;0;0.62;1.24;1.86;2.48;2.93;3.38;3.95;4.52;5.31;6.1;6.51;6.92;7.4;7.88;8.36;8.84;9.415;9.99;10.565;11.14;11.564;11.988;12.412;12.836;13.26;13.524;13.788;14.052;14.316;14.58;14.864;15.148;15.432;15.716;16;16;16;16;16;16
135;0;0.6;1.2;1.8;2.4;2.85;3.3;3.875;4.45;5.25;6.05;6.45;6.85;7.325;7.8;8.275;8.75;9.313;9.875;10.438;11;11.42;11.84;12.26;12.68;13.1;13.36;13.62;13.88;14.14;14.4;14.68;14.96;15.24;15.52;15.8;15.8;15.8;15.8;15.8;15.8
136;0;0.58;1.16;1.74;2.32;2.77;3.22;3.8;4.38;5.19;6;6.39;6.78;7.25;7.72;8.19;8.66;9.21;9.76;10.31;10.86;11.276;11.692;12.108;12.524;12.94;13.196;13.452;13.708;13.964;14.22;14.496;14.772;15.048;15.324;15.6;15.6;15.6;15.6;15.6;15.6
137;0;0.56;1.12;1.68;2.24;2.69;3.14;3.725;4.31;5.13;5.95;6.33;6.71;7.175;7.64;8.105;8.57;9.108;9.645;10.183;10.72;11.132;11.544;11.956;12.368;12.78;13.032;13.284;13.536;13.788;14.04;14.312;14.584;14.856;15.128;15.4;15.4;15.4;15.4;15.4;15.4
138;0;0.54;1.08;1.62;2.16;2.61;3.06;3.65;4.24;5.07;5.9;6.27;6.64;7.1;7.56;8.02;8.48;9.005;9.53;10.055;10.58;10.988;11.396;11.804;12.212;12.62;12.868;13.116;13.364;13.612;13.86;14.128;14.396;14.664;14.932;15.2;15.2;15.2;15.2;15.2;15.2
139;0;0.52;1.04;1.56;2.08;2.53;2.98;3.575;4.17;5.01;5.85;6.21;6.57;7.025;7.48;7.935;8.39;8.903;9.415;9.928;10.44;10.844;11.248;11.652;12.056;12.46;12.704;12.948;13.192;13.436;13.68;13.944;14.208;14.472;14.736;15;15;15;15;15;15
140;0;0.5;1;1.5;2;2.45;2.9;3.5;4.1;4.95;5.8;6.15;6.5;6.95;7.4;7.85;8.3;8.8;9.3;9.8;10.3;10.7;11.1;11.5;11.9;12.3;12.54;12.78;13.02;13.26;13.5;13.76;14.02;14.28;14.54;14.8;14.8;14.8;14.8;14.8;14.8
141;0;0.498;0.995;1.493;1.99;2.43;2.87;3.455;4.04;4.87;5.7;6.085;6.47;6.91;7.35;7.785;8.22;8.715;9.21;9.705;10.2;10.606;11.012;11.418;11.824;12.23;12.47;12.71;12.95;13.19;13.43;13.688;13.946;14.204;14.462;14.72;14.72;14.72;14.72;14.72;14.72
142;0;0.495;0.99;1.485;1.98;2.41;2.84;3.41;3.98;4.79;5.6;6.02;6.44;6.87;7.3;7.72;8.14;8.63;9.12;9.61;10.1;10.512;10.924;11.336;11.748;12.16;12.4;12.64;12.88;13.12;13.36;13.616;13.872;14.128;14.384;14.64;14.64;14.64;14.64;14.64;14.64
143;0;0.493;0.985;1.478;1.97;2.39;2.81;3.365;3.92;4.71;5.5;5.955;6.41;6.83;7.25;7.655;8.06;8.545;9.03;9.515;10;10.418;10.836;11.254;11.672;12.09;12.33;12.57;12.81;13.05;13.29;13.544;13.798;14.052;14.306;14.56;14.56;14.56;14.56;14.56;14.56
144;0;0.49;0.98;1.47;1.96;2.37;2.78;3.32;3.86;4.63;5.4;5.89;6.38;6.79;7.2;7.59;7.98;8.46;8.94;9.42;9.9;10.324;10.748;11.172;11.596;12.02;12.26;12.5;12.74;12.98;13.22;13.472;13.724;13.976;14.228;14.48;14.48;14.48;14.48;14.48;14.48
145;0;0.488;0.975;1.463;1.95;2.35;2.75;3.275;3.8;4.55;5.3;5.825;6.35;6.75;7.15;7.525;7.9;8.375;8.85;9.325;9.8;10.23;10.66;11.09;11.52;11.95;12.19;12.43;12.67;12.91;13.15;13.4;13.65;13.9;14.15;14.4;14.4;14.4;14.4;14.4;14.4
146;0;0.485;0.97;1.455;1.94;2.33;2.72;3.23;3.74;4.47;5.2;5.76;6.32;6.71;7.1;7.46;7.82;8.29;8.76;9.23;9.7;10.136;10.572;11.008;11.444;11.88;12.12;12.36;12.6;12.84;13.08;13.328;13.576;13.824;14.072;14.32;14.32;14.32;14.32;14.32;14.32
147;0;0.483;0.965;1.448;1.93;2.31;2.69;3.185;3.68;4.39;5.1;5.695;6.29;6.67;7.05;7.395;7.74;8.205;8.67;9.135;9.6;10.042;10.484;10.926;11.368;11.81;12.05;12.29;12.53;12.77;13.01;13.256;13.502;13.748;13.994;14.24;14.24;14.24;14.24;14.24;14.24
148;0;0.48;0.96;1.44;1.92;2.29;2.66;3.14;3.62;4.31;5;5.63;6.26;6.63;7;7.33;7.66;8.12;8.58;9.04;9.5;9.948;10.396;10.844;11.292;11.74;11.98;12.22;12.46;12.7;12.94;13.184;13.428;13.672;13.916;14.16;14.16;14.16;14.16;14.16;14.16
149;0;0.478;0.955;1.432;1.91;2.27;2.63;3.095;3.56;4.23;4.9;5.565;6.23;6.59;6.95;7.265;7.58;8.035;8.49;8.945;9.4;9.854;10.308;10.762;11.216;11.67;11.91;12.15;12.39;12.63;12.87;13.112;13.354;13.596;13.838;14.08;14.08;14.08;14.08;14.08;14.08
150;0;0.475;0.95;1.425;1.9;2.25;2.6;3.05;3.5;4.15;4.8;5.5;6.2;6.55;6.9;7.2;7.5;7.95;8.4;8.85;9.3;9.76;10.22;10.68;11.14;11.6;11.84;12.08;12.32;12.56;12.8;13.04;13.28;13.52;13.76;14;14;14;14;14;14
151;0;0.462;0.925;1.388;1.85;2.195;2.54;2.985;3.43;4.07;4.71;5.395;6.08;6.44;6.8;7.11;7.42;7.863;8.305;8.748;9.19;9.636;10.082;10.528;10.974;11.42;11.656;11.892;12.128;12.364;12.6;12.836;13.072;13.308;13.544;13.78;13.78;13.78;13.78;13.78;13.78
152;0;0.45;0.9;1.35;1.8;2.14;2.48;2.92;3.36;3.99;4.62;5.29;5.96;6.33;6.7;7.02;7.34;7.775;8.21;8.645;9.08;9.512;9.944;10.376;10.808;11.24;11.472;11.704;11.936;12.168;12.4;12.632;12.864;13.096;13.328;13.56;13.56;13.56;13.56;13.56;13.56
153;0;0.438;0.875;1.313;1.75;2.085;2.42;2.855;3.29;3.91;4.53;5.185;5.84;6.22;6.6;6.93;7.26;7.688;8.115;8.543;8.97;9.388;9.806;10.224;10.642;11.06;11.288;11.516;11.744;11.972;12.2;12.428;12.656;12.884;13.112;13.34;13.34;13.34;13.34;13.34;13.34
154;0;0.425;0.85;1.275;1.7;2.03;2.36;2.79;3.22;3.83;4.44;5.08;5.72;6.11;6.5;6.84;7.18;7.6;8.02;8.44;8.86;9.264;9.668;10.072;10.476;10.88;11.104;11.328;11.552;11.776;12;12.224;12.448;12.672;12.896;13.12;13.12;13.12;13.12;13.12;13.12
155;0;0.413;0.825;1.237;1.65;1.975;2.3;2.725;3.15;3.75;4.35;4.975;5.6;6;6.4;6.75;7.1;7.512;7.925;8.338;8.75;9.14;9.53;9.92;10.31;10.7;10.92;11.14;11.36;11.58;11.8;12.02;12.24;12.46;12.68;12.9;12.9;12.9;12.9;12.9;12.9
156;0;0.4;0.8;1.2;1.6;1.92;2.24;2.66;3.08;3.67;4.26;4.87;5.48;5.89;6.3;6.66;7.02;7.425;7.83;8.235;8.64;9.016;9.392;9.768;10.144;10.52;10.736;10.952;11.168;11.384;11.6;11.816;12.032;12.248;12.464;12.68;12.68;12.68;12.68;12.68;12.68
157;0;0.387;0.775;1.162;1.55;1.865;2.18;2.595;3.01;3.59;4.17;4.765;5.36;5.78;6.2;6.57;6.94;7.338;7.735;8.133;8.53;8.892;9.254;9.616;9.978;10.34;10.552;10.764;10.976;11.188;11.4;11.612;11.824;12.036;12.248;12.46;12.46;12.46;12.46;12.46;12.46
158;0;0.375;0.75;1.125;1.5;1.81;2.12;2.53;2.94;3.51;4.08;4.66;5.24;5.67;6.1;6.48;6.86;7.25;7.64;8.03;8.42;8.768;9.116;9.464;9.812;10.16;10.368;10.576;10.784;10.992;11.2;11.408;11.616;11.824;12.032;12.24;12.24;12.24;12.24;12.24;12.24
159;0;0.363;0.725;1.088;1.45;1.755;2.06;2.465;2.87;3.43;3.99;4.555;5.12;5.56;6;6.39;6.78;7.163;7.545;7.927;8.31;8.644;8.978;9.312;9.646;9.98;10.184;10.388;10.592;10.796;11;11.204;11.408;11.612;11.816;12.02;12.02;12.02;12.02;12.02;12.02
160;0;0.35;0.7;1.05;1.4;1.7;2;2.4;2.8;3.35;3.9;4.45;5;5.45;5.9;6.3;6.7;7.075;7.45;7.825;8.2;8.52;8.84;9.16;9.48;9.8;10;10.2;10.4;10.6;10.8;11;11.2;11.4;11.6;11.8;11.8;11.8;11.8;11.8;11.8
161;0;0.342;0.685;1.027;1.37;1.665;1.96;2.35;2.74;3.285;3.83;4.365;4.9;5.355;5.81;6.22;6.63;6.998;7.365;7.733;8.1;8.41;8.72;9.03;9.34;9.65;9.846;10.042;10.238;10.434;10.63;10.828;11.026;11.224;11.422;11.62;11.62;11.62;11.62;11.62;11.62
162;0;0.335;0.67;1.005;1.34;1.63;1.92;2.3;2.68;3.22;3.76;4.28;4.8;5.26;5.72;6.14;6.56;6.92;7.28;7.64;8;8.3;8.6;8.9;9.2;9.5;9.692;9.884;10.076;10.268;10.46;10.656;10.852;11.048;11.244;11.44;11.44;11.44;11.44;11.44;11.44
163;0;0.328;0.655;0.983;1.31;1.595;1.88;2.25;2.62;3.155;3.69;4.195;4.7;5.165;5.63;6.06;6.49;6.843;7.195;7.547;7.9;8.19;8.48;8.77;9.06;9.35;9.538;9.726;9.914;10.102;10.29;10.484;10.678;10.872;11.066;11.26;11.26;11.26;11.26;11.26;11.26
164;0;0.32;0.64;0.96;1.28;1.56;1.84;2.2;2.56;3.09;3.62;4.11;4.6;5.07;5.54;5.98;6.42;6.765;7.11;7.455;7.8;8.08;8.36;8.64;8.92;9.2;9.384;9.568;9.752;9.936;10.12;10.312;10.504;10.696;10.888;11.08;11.08;11.08;11.08;11.08;11.08
165;0;0.313;0.625;0.938;1.25;1.525;1.8;2.15;2.5;3.025;3.55;4.025;4.5;4.975;5.45;5.9;6.35;6.688;7.025;7.362;7.7;7.97;8.24;8.51;8.78;9.05;9.23;9.41;9.59;9.77;9.95;10.14;10.33;10.52;10.71;10.9;10.9;10.9;10.9;10.9;10.9
166;0;0.305;0.61;0.915;1.22;1.49;1.76;2.1;2.44;2.96;3.48;3.94;4.4;4.88;5.36;5.82;6.28;6.61;6.94;7.27;7.6;7.86;8.12;8.38;8.64;8.9;9.076;9.252;9.428;9.604;9.78;9.968;10.156;10.344;10.532;10.72;10.72;10.72;10.72;10.72;10.72
167;0;0.298;0.595;0.893;1.19;1.455;1.72;2.05;2.38;2.895;3.41;3.855;4.3;4.785;5.27;5.74;6.21;6.533;6.855;7.178;7.5;7.75;8;8.25;8.5;8.75;8.922;9.094;9.266;9.438;9.61;9.796;9.982;10.168;10.354;10.54;10.54;10.54;10.54;10.54;10.54
168;0;0.29;0.58;0.87;1.16;1.42;1.68;2;2.32;2.83;3.34;3.77;4.2;4.69;5.18;5.66;6.14;6.455;6.77;7.085;7.4;7.64;7.88;8.12;8.36;8.6;8.768;8.936;9.104;9.272;9.44;9.624;9.808;9.992;10.176;10.36;10.36;10.36;10.36;10.36;10.36
