TWA/TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;80
16;0;0,136;0,272;0,408;0,544;0,68;0,816;0,952;1,089;1,224;1,359;1,495;1,63;1,766;1,838;1,91;1,982;2,054;2,126;2,148;2,171;2,193;2,216;2,239;2,197;2,156;2,114;2,073;2,032;1,986;1,94;1,894;1,848;1,802;1,756;1,711;1,68;1,65;1,619;1,589;1,559;0,9354
17;0;0,144;0,289;0,434;0,579;0,723;0,868;1,013;1,158;1,301;1,445;1,588;1,732;1,876;1,952;2,029;2,105;2,182;2,259;2,283;2,307;2,331;2,355;2,379;2,335;2,291;2,247;2,203;2,159;2,11;2,061;2,012;1,964;1,915;1,866;1,818;1,785;1,753;1,721;1,689;1,657;0,9942
18;0;0,153;0,306;0,459;0,613;0,766;0,919;1,072;1,226;1,378;1,53;1,682;1,834;1,986;2,067;2,148;2,229;2,31;2,392;2,417;2,442;2,468;2,493;2,519;2,472;2,425;2,379;2,332;2,286;2,234;2,182;2,131;2,079;2,028;1,976;1,925;1,89;1,856;1,822;1,788;1,754;1,0524
19;0;0,161;0,323;0,485;0,647;0,808;0,97;1,132;1,294;1,454;1,615;1,775;1,936;2,097;2,182;2,268;2,353;2,439;2,525;2,551;2,578;2,605;2,632;2,659;2,609;2,56;2,511;2,462;2,413;2,358;2,304;2,249;2,195;2,14;2,086;2,032;1,996;1,96;1,924;1,888;1,852;1,1112
20;0;0,17;0,34;0,51;0,681;0,851;1,021;1,191;1,362;1,531;1,7;1,869;2,038;2,207;2,297;2,387;2,477;2,567;2,658;2,686;2,714;2,742;2,77;2,799;2,747;2,695;2,643;2,591;2,54;2,482;2,425;2,368;2,31;2,253;2,196;2,139;2,101;2,063;2,025;1,987;1,949;1,1694
21;0;0,178;0,357;0,536;0,715;0,893;1,072;1,251;1,43;1,607;1,785;1,962;2,14;2,318;2,412;2,507;2,601;2,696;2,791;2,82;2,85;2,879;2,909;2,939;2,884;2,83;2,775;2,721;2,667;2,606;2,546;2,486;2,426;2,366;2,306;2,246;2,206;2,166;2,126;2,086;2,047;1,2282
22;0;0,187;0,374;0,561;0,749;0,936;1,123;1,31;1,498;1,684;1,87;2,056;2,242;2,428;2,527;2,626;2,725;2,824;2,924;2,955;2,986;3,017;3,048;3,079;3,022;2,965;2,908;2,851;2,794;2,731;2,668;2,605;2,542;2,479;2,416;2,353;2,311;2,269;2,227;2,185;2,144;1,2864
23;0;0,195;0,391;0,587;0,783;0,978;1,174;1,37;1,566;1,76;1,954;2,149;2,343;2,538;2,641;2,745;2,849;2,953;3,057;3,089;3,121;3,154;3,186;3,219;3,159;3,099;3,04;2,98;2,921;2,855;2,789;2,723;2,657;2,591;2,525;2,46;2,416;2,372;2,329;2,285;2,242;1,3452
24;0;0,204;0,408;0,612;0,817;1,021;1,225;1,429;1,634;1,837;2,04;2,243;2,446;2,649;2,757;2,865;2,973;3,081;3,19;3,223;3,257;3,291;3,325;3,359;3,297;3,235;3,173;3,111;3,049;2,98;2,911;2,842;2,773;2,704;2,635;2,567;2,521;2,475;2,43;2,384;2,339;1,4034
25;0;0,212;0,425;0,638;0,851;1,064;1,277;1,49;1,703;1,914;2,125;2,336;2,547;2,759;2,871;2,984;3,097;3,21;3,323;3,358;3,393;3,428;3,463;3,499;3,434;3,369;3,305;3,24;3,176;3,104;3,032;2,96;2,889;2,817;2,745;2,674;2,626;2,579;2,531;2,484;2,437;1,4622
26;0;0,221;0,442;0,664;0,885;1,106;1,328;1,549;1,771;1,99;2,21;2,429;2,649;2,869;2,986;3,103;3,221;3,338;3,456;3,492;3,529;3,565;3,602;3,639;3,571;3,504;3,437;3,37;3,303;3,228;3,153;3,079;3,004;2,93;2,855;2,781;2,731;2,682;2,632;2,583;2,534;1,5204
